Statistical profiling result from isolate-0x38c31a0-3528-v8.log, (19686 ticks, 6 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    223  100.0%          LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:954:37
    223  100.0%            LazyCompile: ~Module.load internal/modules/cjs/loader.js:790:33

    217    1.1%  __GI___pthread_rwlock_wrlock
    216   99.5%    LazyCompile: *startCPUComsumedProcess /mnt/d/work/play/jsp/src/instancely.js:21:33
    216  100.0%      Eval: ~<anonymous> /mnt/d/work/play/jsp/src/instancely.js:1:1
    216  100.0%        LazyCompile: ~Module._compile internal/modules/cjs/loader.js:854:37
    216  100.0%          LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:954:37
    216  100.0%            LazyCompile: ~Module.load internal/modules/cjs/loader.js:790:33

