Statistical profiling result from isolate-0x38c31a0-3528-v8.log, (19686 ticks, 6 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  v8::internal::AstValueFactory::GetString(unsigned int, bool, v8::internal::Vector<unsigned char const>)
      1    0.0%    0.0%  std::string::_Rep::_M_clone(std::allocator<char> const&, unsigned long)
      1    0.0%    0.0%  node::fs::Open(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  node::fs::InternalModuleStat(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  node::fs::FStat(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  __mprotect
      1    0.0%    0.0%  _IO_file_xsputn

 [Summary]:
   ticks  total  nonlib   name
    271    1.4%    5.0%  JavaScript
   5135   26.1%   94.9%  C++
    567    2.9%   10.5%  GC
  14274   72.5%          Shared libraries
      6    0.0%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
   1884   30.8%    9.6%  v8::internal::Builtin_ArrayBufferConstructor(int, unsigned long*, v8::internal::Isolate*)
    864   14.1%    4.4%  node::StringBytes::Encode(v8::Isolate*, char const*, unsigned long, node::encoding, v8::Local<v8::Value>*)
    319    5.2%    1.6%  __GI___pthread_rwlock_unlock
    223    3.7%    1.1%  int v8::(anonymous namespace)::WriteUtf8Impl<unsigned char>(v8::internal::Vector<unsigned char const>, char*, int, int, int*)
    218    3.6%    1.1%  __libc_malloc
    217    3.6%    1.1%  __GI___pthread_rwlock_wrlock
    144    2.4%    0.7%  node::crypto::RandomBytes(v8::FunctionCallbackInfo<v8::Value> const&)
    135    2.2%    0.7%  node::ParseEncoding(char const*, node::encoding)
    131    2.1%    0.7%  v8::Value::IsArrayBufferView() const
    109    1.8%    0.6%  v8::String::NewFromOneByte(v8::Isolate*, unsigned char const*, v8::NewStringType, int)
    107    1.8%    0.5%  v8::String::WriteUtf8(v8::Isolate*, char*, int, int*, int) const
    107    1.8%    0.5%  v8::HandleScope::HandleScope(v8::Isolate*)
     96    1.6%    0.5%  void node::Buffer::(anonymous namespace)::StringSlice<(node::encoding)5>(v8::FunctionCallbackInfo<v8::Value> const&)
     96    1.6%    0.5%  __GI___pthread_getspecific
     91    1.5%    0.5%  node::Buffer::(anonymous namespace)::ParseArrayIndex(node::Environment*, v8::Local<v8::Value>, unsigned long, unsigned long*)
     90    1.5%    0.5%  v8::ArrayBuffer::GetContents()
     84    1.4%    0.4%  v8::internal::String::Flatten(v8::internal::Isolate*, v8::internal::Handle<v8::internal::String>, v8::internal::AllocationType)
     82    1.3%    0.4%  _init
     76    1.2%    0.4%  node::crypto::Hash::HashUpdate(v8::FunctionCallbackInfo<v8::Value> const&)
     72    1.2%    0.4%  v8::Isolate::GetCurrentContext()
     65    1.1%    0.3%  __libc_free
     64    1.0%    0.3%  v8::HandleScope::~HandleScope()
     61    1.0%    0.3%  node::StringBytes::StorageSize(v8::Isolate*, v8::Local<v8::Value>, node::encoding)
